centro_comercial|provincia|canton|parroquia|perimetro_calles|struct_contexto
Recreo|pichincha|quito|['magdalena']|"['antonio jose de sucre' 'av de la prensa' 'john kennedy'
 'leonardo davinci' 'mariscal sucre']"|[{'frecuencia': 179, 'palabra': 'maldonado'}, {'frecuencia': 69, 'palabra': 'pedro'}, {'frecuencia': 67, 'palabra': 'vicente'}, {'frecuencia': 40, 'palabra': 'calvas'}, {'frecuencia': 34, 'palabra': 'carrion'}, {'frecuencia': 19, 'palabra': 'miguel'}, {'frecuencia': 15, 'palabra': 'peralta'}, {'frecuencia': 15, 'palabra': 'jose'}, {'frecuencia': 11, 'palabra': 'lauro'}, {'frecuencia': 11, 'palabra': 'guerrero'}, {'frecuencia': 11, 'palabra': 'recreo'}, {'frecuencia': 10, 'palabra': 'calle'}, {'frecuencia': 8, 'palabra': 'avenida'}, {'frecuencia': 6, 'palabra': 'rivas'}, {'frecuencia': 6, 'palabra': 'angulo'}, {'frecuencia': 6, 'palabra': 'alonso'}, {'frecuencia': 5, 'palabra': 'pujili'}, {'frecuencia': 4, 'palabra': 'rafael'}, {'frecuencia': 4, 'palabra': 'arteta'}, {'frecuencia': 4, 'palabra': 'tgm'}, {'frecuencia': 4, 'palabra': 'secundaria'}, {'frecuencia': 4, 'palabra': 'joaquin'}, {'frecuencia': 4, 'palabra': 'garcia'}, {'frecuencia': 3, 'palabra': 'gutierrez'}, {'frecuencia': 3, 'palabra': 'balcones'}, {'frecuencia': 3, 'palabra': 'lote'}, {'frecuencia': 3, 'palabra': 'via'}, {'frecuencia': 3, 'palabra': 'charpantier'}, {'frecuencia': 3, 'palabra': 'james'}, {'frecuencia': 2, 'palabra': 'becerra'}, {'frecuencia': 2, 'palabra': 'etiqueta'}, {'frecuencia': 2, 'palabra': 'stars'}, {'frecuencia': 2, 'palabra': 'galo'}, {'frecuencia': 2, 'palabra': 'molina'}, {'frecuencia': 2, 'palabra': 'torre'}, {'frecuencia': 2, 'palabra': 'glamour'}, {'frecuencia': 2, 'palabra': 'manuel'}, {'frecuencia': 2, 'palabra': 'city'}, {'frecuencia': 2, 'palabra': 'calacali'}, {'frecuencia': 2, 'palabra': 'gomez'}, {'frecuencia': 2, 'palabra': 'teodoro'}, {'frecuencia': 2, 'palabra': 'puente'}, {'frecuencia': 2, 'palabra': 'inti'}, {'frecuencia': 2, 'palabra': 'amaluza'}, {'frecuencia': 2, 'palabra': 'trole'}, {'frecuencia': 2, 'palabra': 'delfin'}, {'frecuencia': 2, 'palabra': 'beats'}, {'frecuencia': 2, 'palabra': 'tenorio'}, {'frecuencia': 2, 'palabra': 'sixto'}, {'frecuencia': 2, 'palabra': 'margen'}, {'frecuencia': 2, 'palabra': 'independencia'}, {'frecuencia': 2, 'palabra': 'duran'}, {'frecuencia': 1, 'palabra': 'long'}, {'frecuencia': 1, 'palabra': 'martin'}, {'frecuencia': 1, 'palabra': 'torres'}, {'frecuencia': 1, 'palabra': 'tambo'}, {'frecuencia': 1, 'palabra': 'bartolo'}, {'frecuencia': 1, 'palabra': 'adriano'}, {'frecuencia': 1, 'palabra': 'cobo'}, {'frecuencia': 1, 'palabra': 'san'}, {'frecuencia': 1, 'palabra': 'mladonado'}, {'frecuencia': 1, 'palabra': 'derecho'}, {'frecuencia': 1, 'palabra': 'barba'}, {'frecuencia': 1, 'palabra': 'gil'}, {'frecuencia': 1, 'palabra': 'rodrigo'}, {'frecuencia': 1, 'palabra': 'eje'}, {'frecuencia': 1, 'palabra': 'dominicana'}, {'frecuencia': 1, 'palabra': 'canero'}, {'frecuencia': 1, 'palabra': 'gaspar'}, {'frecuencia': 1, 'palabra': 'orozco'}, {'frecuencia': 1, 'palabra': 'esq'}, {'frecuencia': 1, 'palabra': 'rodriguez'}, {'frecuencia': 1, 'palabra': 'sivewright'}, {'frecuencia': 1, 'palabra': 'llano'}, {'frecuencia': 1, 'palabra': 'moreno'}, {'frecuencia': 1, 'palabra': 'grande'}, {'frecuencia': 1, 'palabra': 'piedra'}, {'frecuencia': 1, 'palabra': 'vapor'}, {'frecuencia': 1, 'palabra': 'izquierdo'}, {'frecuencia': 1, 'palabra': 'ugalde'}, {'frecuencia': 1, 'palabra': 'quitumbe'}, {'frecuencia': 1, 'palabra': 'amarunan'}, {'frecuencia': 1, 'palabra': 'republica'}, {'frecuencia': 1, 'palabra': 'siwerinch'}, {'frecuencia': 1, 'palabra': 'maxiliano'}, {'frecuencia': 1, 'palabra': 'palmira'}, {'frecuencia': 1, 'palabra': 'mundo'}, {'frecuencia': 1, 'palabra': 'huacho'}, {'frecuencia': 1, 'palabra': 'ajuar'}, {'frecuencia': 1, 'palabra': 'pesro'}, {'frecuencia': 1, 'palabra': 'alamor'}, {'frecuencia': 1, 'palabra': 'frente'}, {'frecuencia': 1, 'palabra': 'estacion'}, {'frecuencia': 1, 'palabra': 'cristobal'}, {'frecuencia': 1, 'palabra': 'sivewrignt'}, {'frecuencia': 1, 'palabra': 'antonio'}, {'frecuencia': 1, 'palabra': 'barrio'}, {'frecuencia': 1, 'palabra': 'nuevo'}, {'frecuencia': 1, 'palabra': 'trivino'}, {'frecuencia': 1, 'palabra': 'local'}, {'frecuencia': 1, 'palabra': 'trivinio'}, {'frecuencia': 1, 'palabra': 'infantil'}, {'frecuencia': 1, 'palabra': 'mariano'}, {'frecuencia': 1, 'palabra': 'caldas'}, {'frecuencia': 1, 'palabra': 'amazonas'}, {'frecuencia': 1, 'palabra': 'indanza'}, {'frecuencia': 1, 'palabra': 'teniente'}, {'frecuencia': 1, 'palabra': 'hugo'}, {'frecuencia': 1, 'palabra': 'ortiz'}, {'frecuencia': 1, 'palabra': 'borbon'}, {'frecuencia': 1, 'palabra': 'quevedo'}, {'frecuencia': 1, 'palabra': 'quito'}, {'frecuencia': 1, 'palabra': 'lanafit'}, {'frecuencia': 1, 'palabra': 'madgalena'}, {'frecuencia': 1, 'palabra': 'frte'}, {'frecuencia': 1, 'palabra': 'moran'}, {'frecuencia': 1, 'palabra': 'verde'}, {'frecuencia': 1, 'palabra': 'cor'}]
Condado Shopping|pichincha|quito|['ponceano' 'cotocollao']|['lauro guerrero becerra' 'oe1e' 'oe2f' 'pedro vicente maldonado' 's11c']|[{'frecuencia': 9, 'palabra': 'kennedy'}, {'frecuencia': 7, 'palabra': 'sucre'}, {'frecuencia': 6, 'palabra': 'john'}, {'frecuencia': 6, 'palabra': 'mariscal'}, {'frecuencia': 4, 'palabra': 'prensa'}, {'frecuencia': 1, 'palabra': 'antonio'}, {'frecuencia': 1, 'palabra': 'jose'}]
Mall de los Andes|tungurahua|ambato|['huachi chico']|['atahualpa' 'cosmopolita' 'marcos montalvo' 'victor hugo']|[{'frecuencia': 27, 'palabra': 'victor'}, {'frecuencia': 27, 'palabra': 'hugo'}, {'frecuencia': 25, 'palabra': 'atahualpa'}, {'frecuencia': 2, 'palabra': 'marcos'}, {'frecuencia': 2, 'palabra': 'montalvo'}, {'frecuencia': 1, 'palabra': 'atahiualpa'}]
San Marino|guayas|guayaquil|['tarqui']|['10 no' 'francisco de orellana' '2do pasaje 10 no']|[{'frecuencia': 82, 'palabra': 'orellana'}, {'frecuencia': 77, 'palabra': 'francisco'}, {'frecuencia': 76, 'palabra': 'plaza'}, {'frecuencia': 74, 'palabra': 'danin'}, {'frecuencia': 60, 'palabra': 'carlos'}, {'frecuencia': 59, 'palabra': 'luis'}, {'frecuencia': 6, 'palabra': 'fco'}, {'frecuencia': 5, 'palabra': 'avenida'}, {'frecuencia': 3, 'palabra': 'san'}, {'frecuencia': 3, 'palabra': 'marino'}, {'frecuencia': 2, 'palabra': 'via'}, {'frecuencia': 2, 'palabra': 'daule'}, {'frecuencia': 1, 'palabra': 'policentro'}, {'frecuencia': 1, 'palabra': 'solar'}, {'frecuencia': 1, 'palabra': 'local'}, {'frecuencia': 1, 'palabra': 'frente'}, {'frecuencia': 1, 'palabra': 'orella'}, {'frecuencia': 1, 'palabra': 'luisplaza'}, {'frecuencia': 1, 'palabra': 'guayaquil'}, {'frecuencia': 1, 'palabra': 'paseo'}, {'frecuencia': 1, 'palabra': 'shopping'}]
Paseo Shopping|manabi|portoviejo|['andres' 'vera']|['25 de junio' '9 de agosto' 'america' 'metropolitana' 'othon castillo']|[{'frecuencia': 4, 'palabra': 'washington'}, {'frecuencia': 4, 'palabra': 'jorge'}, {'frecuencia': 4, 'palabra': 'america'}, {'frecuencia': 2, 'palabra': 'prolongacion'}, {'frecuencia': 2, 'palabra': 'portoviejo'}, {'frecuencia': 1, 'palabra': 'ejercito'}, {'frecuencia': 1, 'palabra': 'paralela'}, {'frecuencia': 1, 'palabra': 'calle'}]
Portal Shopping|pichincha|quito|['calderon' 'carapungo']|['giovanni calles lascano' 'norte' 'simon bolivar']|[{'frecuencia': 61, 'palabra': 'bolivar'}, {'frecuencia': 58, 'palabra': 'simon'}, {'frecuencia': 33, 'palabra': 'panamericana'}, {'frecuencia': 32, 'palabra': 'norte'}, {'frecuencia': 15, 'palabra': 'galo'}, {'frecuencia': 15, 'palabra': 'lasso'}, {'frecuencia': 14, 'palabra': 'plaza'}, {'frecuencia': 9, 'palabra': 'amazonas'}, {'frecuencia': 8, 'palabra': 'calles'}, {'frecuencia': 6, 'palabra': 'calderon'}, {'frecuencia': 5, 'palabra': 'gaspar'}, {'frecuencia': 4, 'palabra': 'pasaje'}, {'frecuencia': 4, 'palabra': 'calle'}, {'frecuencia': 4, 'palabra': 'san'}, {'frecuencia': 4, 'palabra': 'isla'}, {'frecuencia': 4, 'palabra': 'unidas'}, {'frecuencia': 4, 'palabra': 'naciones'}, {'frecuencia': 3, 'palabra': 'villarroel'}, {'frecuencia': 3, 'palabra': 'jose'}, {'frecuencia': 3, 'palabra': 'carapungo'}, {'frecuencia': 3, 'palabra': 'giovanni'}, {'frecuencia': 3, 'palabra': 'carvajal'}, {'frecuencia': 3, 'palabra': 'jesus'}, {'frecuencia': 3, 'palabra': 'capitan'}, {'frecuencia': 3, 'palabra': 'manuel'}, {'frecuencia': 3, 'palabra': 'geovanny'}, {'frecuencia': 3, 'palabra': 'carlos'}, {'frecuencia': 2, 'palabra': 'abdon'}, {'frecuencia': 2, 'palabra': 'paredes'}, {'frecuencia': 2, 'palabra': 'gregorio'}, {'frecuencia': 2, 'palabra': 'cuenca'}, {'frecuencia': 2, 'palabra': 'alemania'}, {'frecuencia': 2, 'palabra': 'vicente'}, {'frecuencia': 2, 'palabra': 'santa'}, {'frecuencia': 2, 'palabra': 'avenida'}, {'frecuencia': 2, 'palabra': 'canelos'}, {'frecuencia': 2, 'palabra': 'agosto'}, {'frecuencia': 2, 'palabra': 'interoceanica'}, {'frecuencia': 2, 'palabra': 'maria'}, {'frecuencia': 2, 'palabra': 'morales'}, {'frecuencia': 2, 'palabra': 'ponce'}, {'frecuencia': 2, 'palabra': 'enriquez'}, {'frecuencia': 2, 'palabra': 'luis'}, {'frecuencia': 2, 'palabra': 'pedro'}, {'frecuencia': 2, 'palabra': 'alfaro'}, {'frecuencia': 2, 'palabra': 'maldonado'}, {'frecuencia': 2, 'palabra': 'mariana'}, {'frecuencia': 2, 'palabra': 'jimenez'}, {'frecuencia': 2, 'palabra': 'ines'}, {'frecuencia': 2, 'palabra': 'orellana'}, {'frecuencia': 2, 'palabra': 'eloy'}, {'frecuencia': 2, 'palabra': 'america'}, {'frecuencia': 2, 'palabra': 'geovanni'}, {'frecuencia': 1, 'palabra': 'villalobos'}, {'frecuencia': 1, 'palabra': 'pichincha'}, {'frecuencia': 1, 'palabra': 'septiembre'}, {'frecuencia': 1, 'palabra': 'secundaria'}, {'frecuencia': 1, 'palabra': 'burbano'}, {'frecuencia': 1, 'palabra': 'davila'}, {'frecuencia': 1, 'palabra': 'aurelio'}, {'frecuencia': 1, 'palabra': 'guerrero'}, {'frecuencia': 1, 'palabra': 'anonas'}, {'frecuencia': 1, 'palabra': 'panamerica'}, {'frecuencia': 1, 'palabra': 'nueces'}, {'frecuencia': 1, 'palabra': 'rodrigo'}, {'frecuencia': 1, 'palabra': 'mariano'}, {'frecuencia': 1, 'palabra': 'princesa'}, {'frecuencia': 1, 'palabra': 'tamayo'}, {'frecuencia': 1, 'palabra': 'toa'}, {'frecuencia': 1, 'palabra': 'egas'}, {'frecuencia': 1, 'palabra': 'octubre'}, {'frecuencia': 1, 'palabra': 'isabela'}, {'frecuencia': 1, 'palabra': 'vergeles'}, {'frecuencia': 1, 'palabra': 'tomas'}, {'frecuencia': 1, 'palabra': 'jujan'}, {'frecuencia': 1, 'palabra': 'lascano'}, {'frecuencia': 1, 'palabra': 'torres'}, {'frecuencia': 1, 'palabra': 'tocachi'}, {'frecuencia': 1, 'palabra': 'gran'}, {'frecuencia': 1, 'palabra': 'ulloa'}, {'frecuencia': 1, 'palabra': 'antonio'}, {'frecuencia': 1, 'palabra': 'gasca'}, {'frecuencia': 1, 'palabra': 'alejandro'}, {'frecuencia': 1, 'palabra': 'valdez'}, {'frecuencia': 1, 'palabra': 'nogales'}, {'frecuencia': 1, 'palabra': 'rene'}, {'frecuencia': 1, 'palabra': 'alonso'}, {'frecuencia': 1, 'palabra': 'zaragoza'}, {'frecuencia': 1, 'palabra': 'quitus'}, {'frecuencia': 1, 'palabra': 'parque'}, {'frecuencia': 1, 'palabra': 'ramos'}, {'frecuencia': 1, 'palabra': 'rocafuerte'}, {'frecuencia': 1, 'palabra': 'nombre'}, {'frecuencia': 1, 'palabra': 'poder'}, {'frecuencia': 1, 'palabra': 'brasil'}, {'frecuencia': 1, 'palabra': 'edmundo'}, {'frecuencia': 1, 'palabra': 'almendras'}, {'frecuencia': 1, 'palabra': 'pensamientos'}, {'frecuencia': 1, 'palabra': 'geranios'}, {'frecuencia': 1, 'palabra': 'liceo'}, {'frecuencia': 1, 'palabra': 'julio'}, {'frecuencia': 1, 'palabra': 'francisco'}, {'frecuencia': 1, 'palabra': 'moreno'}, {'frecuencia': 1, 'palabra': 'garcia'}, {'frecuencia': 1, 'palabra': 'abril'}, {'frecuencia': 1, 'palabra': 'indanza'}, {'frecuencia': 1, 'palabra': 'union'}, {'frecuencia': 1, 'palabra': 'lote'}, {'frecuencia': 1, 'palabra': 'berlanga'}, {'frecuencia': 1, 'palabra': 'portoviejo'}, {'frecuencia': 1, 'palabra': 'capri'}, {'frecuencia': 1, 'palabra': 'helechos'}, {'frecuencia': 1, 'palabra': 'cipreses'}, {'frecuencia': 1, 'palabra': 'diciembre'}, {'frecuencia': 1, 'palabra': 'marchena'}, {'frecuencia': 1, 'palabra': 'granados'}, {'frecuencia': 1, 'palabra': 'pinos'}, {'frecuencia': 1, 'palabra': 'clodoveo'}, {'frecuencia': 1, 'palabra': 'seis'}, {'frecuencia': 1, 'palabra': 'turubamba'}, {'frecuencia': 1, 'palabra': 'mantilla'}, {'frecuencia': 1, 'palabra': 'ramon'}, {'frecuencia': 1, 'palabra': 'miguel'}, {'frecuencia': 1, 'palabra': 'aristizabal'}, {'frecuencia': 1, 'palabra': 'cordova'}, {'frecuencia': 1, 'palabra': 'carrion'}, {'frecuencia': 1, 'palabra': 'galarza'}, {'frecuencia': 1, 'palabra': 'jaime'}, {'frecuencia': 1, 'palabra': 'roldos'}, {'frecuencia': 1, 'palabra': 'aguilera'}, {'frecuencia': 1, 'palabra': 'raul'}, {'frecuencia': 1, 'palabra': 'padilla'}, {'frecuencia': 1, 'palabra': 'juan'}, {'frecuencia': 1, 'palabra': 'alcazar'}, {'frecuencia': 1, 'palabra': 'andres'}, {'frecuencia': 1, 'palabra': 'perez'}, {'frecuencia': 1, 'palabra': 'plaz'}, {'frecuencia': 1, 'palabra': 'matheus'}, {'frecuencia': 1, 'palabra': 'freire'}, {'frecuencia': 1, 'palabra': 'sata'}, {'frecuencia': 1, 'palabra': 'ana'}, {'frecuencia': 1, 'palabra': 'cristobal'}, {'frecuencia': 1, 'palabra': 'mata'}, {'frecuencia': 1, 'palabra': 'diego'}, {'frecuencia': 1, 'palabra': 'vasquez'}, {'frecuencia': 1, 'palabra': 'capital'}, {'frecuencia': 1, 'palabra': 'pio'}, {'frecuencia': 1, 'palabra': 'xii'}, {'frecuencia': 1, 'palabra': 'prto'}, {'frecuencia': 1, 'palabra': 'primario'}, {'frecuencia': 1, 'palabra': 'rumichaca'}, {'frecuencia': 1, 'palabra': 'esq'}, {'frecuencia': 1, 'palabra': 'cubijies'}, {'frecuencia': 1, 'palabra': 'eugenio'}, {'frecuencia': 1, 'palabra': 'espejo'}, {'frecuencia': 1, 'palabra': 'michelena'}, {'frecuencia': 1, 'palabra': 'gonzalo'}, {'frecuencia': 1, 'palabra': 'cabezas'}, {'frecuencia': 1, 'palabra': 'cardenas'}, {'frecuencia': 1, 'palabra': 'ayora'}, {'frecuencia': 1, 'palabra': 'padre'}, {'frecuencia': 1, 'palabra': 'vaccari'}, {'frecuencia': 1, 'palabra': 'frio'}, {'frecuencia': 1, 'palabra': 'villorita'}, {'frecuencia': 1, 'palabra': 'voz'}, {'frecuencia': 1, 'palabra': 'andes'}, {'frecuencia': 1, 'palabra': 'martin'}, {'frecuencia': 1, 'palabra': 'boyaca'}, {'frecuencia': 1, 'palabra': 'aguirre'}, {'frecuencia': 1, 'palabra': 'puga'}, {'frecuencia': 1, 'palabra': 'redondel'}, {'frecuencia': 1, 'palabra': 'entrada'}, {'frecuencia': 1, 'palabra': 'via'}, {'frecuencia': 1, 'palabra': 'pacto'}]
Paseo San Francisco|pichincha|quito|['cumbaya']|['maria angelica idrobo' 'oswaldo guayasamin' 'oe4d' 'sn' 's2a']|[{'frecuencia': 17, 'palabra': 'interoceanica'}, {'frecuencia': 11, 'palabra': 'pasaje'}, {'frecuencia': 11, 'palabra': 'via'}, {'frecuencia': 3, 'palabra': 'chimborazo'}, {'frecuencia': 3, 'palabra': 'maria'}, {'frecuencia': 3, 'palabra': 'guayasamin'}, {'frecuencia': 3, 'palabra': 'oswaldo'}, {'frecuencia': 2, 'palabra': 'angelica'}, {'frecuencia': 2, 'palabra': 'idrovo'}, {'frecuencia': 2, 'palabra': 'francisco'}, {'frecuencia': 1, 'palabra': 'calle'}, {'frecuencia': 1, 'palabra': 'san'}, {'frecuencia': 1, 'palabra': 'orellana'}, {'frecuencia': 1, 'palabra': 'angenica'}, {'frecuencia': 1, 'palabra': 'idrobo'}]
El Jardin|pichincha|quito|['inaquito']|['av de la republica' 'mariana de jesus' 'potosi' 'rio amazonas']|[{'frecuencia': 23, 'palabra': 'amazonas'}, {'frecuencia': 18, 'palabra': 'republica'}, {'frecuencia': 7, 'palabra': 'rio'}, {'frecuencia': 5, 'palabra': 'jesus'}, {'frecuencia': 5, 'palabra': 'mariana'}, {'frecuencia': 3, 'palabra': 'avenida'}, {'frecuencia': 2, 'palabra': 'ave'}, {'frecuencia': 1, 'palabra': 'americas'}, {'frecuencia': 1, 'palabra': 'amazonaz'}, {'frecuencia': 1, 'palabra': 'jardin'}, {'frecuencia': 1, 'palabra': 'calle'}]
Quicentro|pichincha|quito|['inaquito']|['6 de diciembre' 'de los shyris' 'el comercio' 'naciones unidas']|[{'frecuencia': 64, 'palabra': 'naciones'}, {'frecuencia': 64, 'palabra': 'unidas'}, {'frecuencia': 54, 'palabra': 'diciembre'}, {'frecuencia': 26, 'palabra': 'shyris'}, {'frecuencia': 17, 'palabra': 'comercio'}, {'frecuencia': 9, 'palabra': 'avenida'}, {'frecuencia': 4, 'palabra': 'seis'}, {'frecuencia': 4, 'palabra': 'moran'}, {'frecuencia': 4, 'palabra': 'valverde'}, {'frecuencia': 3, 'palabra': 'vengador'}, {'frecuencia': 3, 'palabra': 'razon'}, {'frecuencia': 3, 'palabra': 'quicentro'}, {'frecuencia': 2, 'palabra': 'calle'}, {'frecuencia': 2, 'palabra': 'ortiz'}, {'frecuencia': 2, 'palabra': 'nnuu'}, {'frecuencia': 2, 'palabra': 'shirys'}, {'frecuencia': 2, 'palabra': 'shopping'}, {'frecuencia': 2, 'palabra': 'calles'}, {'frecuencia': 2, 'palabra': 'quitumbe'}, {'frecuencia': 1, 'palabra': 'rafael'}, {'frecuencia': 1, 'palabra': 'salvador'}, {'frecuencia': 1, 'palabra': 'tnte'}, {'frecuencia': 2, 'palabra': 'san'}, {'frecuencia': 1, 'palabra': 'esquina'}, {'frecuencia': 1, 'palabra': 'hugo'}, {'frecuencia': 1, 'palabra': 'teniente'}, {'frecuencia': 1, 'palabra': 'rep'}, {'frecuencia': 1, 'palabra': 'dia'}, {'frecuencia': 1, 'palabra': 'blvr'}, {'frecuencia': 1, 'palabra': 'carrillo'}, {'frecuencia': 1, 'palabra': 'angelica'}, {'frecuencia': 1, 'palabra': 'maria'}, {'frecuencia': 1, 'palabra': 'lote'}, {'frecuencia': 1, 'palabra': 'jose'}, {'frecuencia': 1, 'palabra': 'abascal'}, {'frecuencia': 1, 'palabra': 'comerico'}, {'frecuencia': 1, 'palabra': 'norte'}]
Mall del Pacifico|manabi|manta|['manta']|['20' '23' '2da paralela' 'malecon']|[{'frecuencia': 27, 'palabra': 'calle'}, {'frecuencia': 23, 'palabra': 'malecon'}, {'frecuencia': 16, 'palabra': 'noviembre'}, {'frecuencia': 3, 'palabra': 'avenida'}, {'frecuencia': 2, 'palabra': 'calles'}, {'frecuencia': 2, 'palabra': 'ava'}, {'frecuencia': 2, 'palabra': 'local'}, {'frecuencia': 2, 'palabra': 'mall'}, {'frecuencia': 2, 'palabra': 'pacifico'}, {'frecuencia': 2, 'palabra': 'mdp'}, {'frecuencia': 1, 'palabra': 'maelcon'}, {'frecuencia': 1, 'palabra': 'gutierrez'}, {'frecuencia': 1, 'palabra': 'chavez'}, {'frecuencia': 1, 'palabra': 'jaime'}, {'frecuencia': 1, 'palabra': 'veinte'}, {'frecuencia': 1, 'palabra': 'secundaria'}, {'frecuencia': 1, 'palabra': 'miraflores'}, {'frecuencia': 1, 'palabra': 'barrio'}, {'frecuencia': 1, 'palabra': 'comercial'}]
