local_CC	categoria	centro_comercial
colineal	electrodomesticos-y-tecnologia	Paseo Shopping
d´plata y complements	electrodomesticos-y-tecnologia	Paseo Shopping
resiflex	electrodomesticos-y-tecnologia	Paseo Shopping
alva shoes y accesorios	moda	Paseo Shopping
american classics	moda	Paseo Shopping
cangry  store	moda	Paseo Shopping
crocs	moda	Paseo Shopping
dipiur	moda	Paseo Shopping
mic	moda	Paseo Shopping
payless shoesource	moda	Paseo Shopping
taty botique	moda	Paseo Shopping
usaflex	moda	Paseo Shopping
american classics	moda	Paseo Shopping
bordalo	moda	Paseo Shopping
cangry  store	moda	Paseo Shopping
optimoda	moda	Paseo Shopping
taty botique	moda	Paseo Shopping
usaflex	moda	Paseo Shopping
vasari mozioni	moda	Paseo Shopping
café bombon´s	gastronomia	Paseo Shopping
cajun	gastronomia	Paseo Shopping
candy shop	gastronomia	Paseo Shopping
carl´s jr 	gastronomia	Paseo Shopping
coco express	gastronomia	Paseo Shopping
comida de victor	gastronomia	Paseo Shopping
crepería el mediodia	gastronomia	Paseo Shopping
dunkin donuts	gastronomia	Paseo Shopping
kfc	gastronomia	Paseo Shopping
las empanadas del paco	gastronomia	Paseo Shopping
menestras del negro	gastronomia	Paseo Shopping
naturissimo	gastronomia	Paseo Shopping
norkys	gastronomia	Paseo Shopping
pepe tucán 	gastronomia	Paseo Shopping
piqueos y moritos	gastronomia	Paseo Shopping
pizza hut	gastronomia	Paseo Shopping
boman	moda	Paseo Shopping
marathon sports	moda	Paseo Shopping
salsa shoes	moda	Paseo Shopping
syf salud y fitness	moda	Paseo Shopping
mundijuegos	entretenimiento	Paseo Shopping
supercines 	entretenimiento	Paseo Shopping
cromatika	salud-y-belleza	Paseo Shopping
d´mujeres	salud-y-belleza	Paseo Shopping
syf salud y fitness	salud-y-belleza	Paseo Shopping
verde natural	salud-y-belleza	Paseo Shopping
viva beauty	salud-y-belleza	Paseo Shopping
d´plata y complements	moda	Paseo Shopping
joyeria romero	moda	Paseo Shopping
optica los andes	moda	Paseo Shopping
optica sos	moda	Paseo Shopping
ópticas gmo	moda	Paseo Shopping
city pet	mascotas	Paseo Shopping
aeropostale	moda	Paseo Shopping
cangry  store	moda	Paseo Shopping
kiss boutique	moda	Paseo Shopping
koaj	moda	Paseo Shopping
lee	moda	Paseo Shopping
mic	moda	Paseo Shopping
mumuso	moda	Paseo Shopping
